1.9, X06DA, 6EMH
1.9, 14.2, 3FBX
1.9, 14.1, 5M8X
1.9, 22-ID, 3G7N
1.9, 14.2, 4BRM
1.9, 22-ID, 3E19
1.9, 22-ID, 3E19
1.9, 14.1, 5M8Y
1.8997, 8.2.1, 1Z2P
1.8997, 8.2.1, 1Z2N
1.899, ID23-1, 5HKF
1.899, ID23-1, 5FHZ
1.8987, 24-ID-C, 3DIG
1.896, X10SA, 6GX4
1.8958, I03, 3OJN
1.89445, MX2, 3ZTT
1.8941, AR-NW12A, 2ZOF
1.894, BM14, 1UVN
1.894, X06SA, 5M95
1.894, X06SA, 1Y3O
1.8934, 8.2.1, 3L24
1.8932, 14.1, 6H2P
1.893174, 14.1, 6T7N
1.893174, 14.1, 6SFA
1.893, BL9-2, 3LZR
1.893, 8.2.2, 8FUN
1.8929, X06DA, 5AKN
1.8929, X06DA, 5AKF
1.8929, P13 (MX1), 9F5J
1.89289, ID30B, 9FEK
1.89289, 08ID-1, 5UYF
1.89289, 08ID-1, 5UYC
1.89288, 22-ID, 5UYH
1.892738, X06DA, 7QJJ
1.8927, 8.3.1, 3ORL
1.8927, X06SA, 5M8J
1.8926, AR-NW12A, 2ZOF
1.8926, 8.3.1, 1TXO
1.8926, PROXIMA 2, 8BO1
1.8925, BL41XU, 5B49
1.8924, 8.2.1, 3L24
1.8924, BL26B1, 6LUG
1.89236, BL26B2, 7W79
1.89231, PROXIMA 1, 4FM1
1.8923, I03, 6TFH
1.8923, 24-ID-C, 5DH7
1.8923, I03, 3OJN
1.89225, ID23-1, 3H60
1.89202, PROXIMA 1, 6OV6
1.892, 24-ID-C, 7L84
1.892, 24-ID-C, 4Y1I
1.892, 24-ID-C, 7RIN
1.892, P13 (MX1), 6H2M
1.892, 24-ID-C, 7LVC
1.892, BM14, 2WZF
1.892, 24-ID-C, 7MM1
1.891993, PROXIMA 2, 5N62
1.89199, 08ID-1, 4YH5
1.89195, ID23-1, 2W5S
1.89175, XALOC, 7BE8
1.89174, 08ID-1, 5UY5
1.8917, 24-ID-C, 7MPQ
1.8917, 24-ID-C, 6UFK
1.8917, 24-ID-C, 6UF1
1.8917, 24-ID-C, 8DCG
1.8914, 17-ID-2, 8SKT
1.89113, X13, 6TVV
1.891, 17-ID-2, 7SEV
1.891, 17-ID-2, 8GIN
1.891, 17-ID-2, 8GIO
1.891, 17-ID-2, 8GIP
1.891, 17-ID-2, 8GIR
1.891, 17-ID-2, 8GIM
1.891, 17-ID-2, 8GIS
1.891, 17-ID-2, 8GIT
1.890575, PROXIMA 2, 6JKI
1.89031, X06SA, 5NRZ
1.89, ID23-1, 6T68
1.89, X06DA, 5LHK
1.89, BL17U1, 5ZR4
1.89, X06SA, 4UN7
1.89, 19-ID, 5T4I
1.89, BL9-2, 1I5B
1.89, PROXIMA 2, 5NCR
1.89, MX2, 4P62
1.89, 19-ID, 5T3V
1.89, BL17U1, 5ZR6
1.89, 17-ID-2, 7KTZ
1.89, 17-ID-2, 7KU3
1.89, 17-ID-2, 7KTY
1.89, 17-ID-2, 7KU2
1.89, 17-ID-2, 7KU1
1.89, BL9-2, 8SMA
1.89, X06SA, 3LJA
1.89, BL26B2, 7W7A
